gene	num_tests	frac_tests
H13_P1	45	0.05
Abhd2	119	0.1322222222222222
Gnptab	150	0.16666666666666666
Fmnl2	157	0.17444444444444446
Abhd14b	172	0.19111111111111112
Osbpl7	187	0.20777777777777778
Tmem178	218	0.24222222222222223
Kdelc2	232	0.2577777777777778
Zdhhc17	232	0.2577777777777778
Tmed10	236	0.26222222222222225
Stam2	252	0.28
Nfx1	259	0.2877777777777778
Lonp1	285	0.31666666666666665
Senp2	322	0.35777777777777775
Chga	325	0.3611111111111111
Dmxl2	328	0.36444444444444446
Ykt6	347	0.38555555555555554
Acad11	356	0.39555555555555555
Arl8b	366	0.4066666666666667
Prpf8	375	0.4166666666666667
Klhl32	388	0.4311111111111111
Ggn	394	0.43777777777777777
Fap	396	0.44
Hist1h2bk	441	0.49
Becn1	445	0.49444444444444446
Rbbp6	446	0.4955555555555556
Fbxw18	465	0.5166666666666667
Mbtps1	473	0.5255555555555556
Gtf2e1	478	0.5311111111111111
Nlrp14	495	0.55
Foxred1	526	0.5844444444444444
Cblb	536	0.5955555555555555
C2	551	0.6122222222222222
Igfbp4_P2	557	0.6188888888888889
Copg1	565	0.6277777777777778
Gmppb	586	0.6511111111111111
Fam19a1	596	0.6622222222222223
Cct6b	604	0.6711111111111111
Arl2	628	0.6977777777777778
Cfdp1	629	0.6988888888888889
H2afz	638	0.7088888888888889
Asb17	648	0.72
Adam20	651	0.7233333333333334
Htt	657	0.73
Rps25	695	0.7722222222222223
Snx20	699	0.7766666666666666
Sbno1	709	0.7877777777777778
Fbxl16	720	0.8
Psmc6	720	0.8
Pla2g2c	732	0.8133333333333334
Ttc1	738	0.82
Prpf3	751	0.8344444444444444
Dhx8	754	0.8377777777777777
H2-Ke2	754	0.8377777777777777
Cct4	769	0.8544444444444445
Fbxl12	779	0.8655555555555555
Stx18	779	0.8655555555555555
Atp6v0e	785	0.8722222222222222
Nus1	800	0.8888888888888888
Cct7	802	0.8911111111111111
Cct5	812	0.9022222222222223
Crcp	820	0.9111111111111111
Chmp5	824	0.9155555555555556
Use1	825	0.9166666666666666
Pdrg1	835	0.9277777777777778
Usp39_P1	851	0.9455555555555556
Prpf31	852	0.9466666666666667
Arfrp1	854	0.9488888888888889
Wdr25	856	0.9511111111111111
Atp6v1f	860	0.9555555555555556
Snx17	863	0.9588888888888889
Ncstn	864	0.96
Usp8	866	0.9622222222222222
Psmd6	871	0.9677777777777777
Vps36	871	0.9677777777777777
Eif2b5	872	0.9688888888888889
Atp6v0b	873	0.97
Cherp	873	0.97
Atp6v0e2	874	0.9711111111111111
Dhdds	877	0.9744444444444444
Chmp6_P1	883	0.9811111111111112
Copa	883	0.9811111111111112
Vps25_P1	884	0.9822222222222222
Ufd1l	884	0.9822222222222222
Copb2	884	0.9822222222222222
Snrnp200	885	0.9833333333333333
Psmc4	885	0.9833333333333333
Sf3a1	886	0.9844444444444445
Ubl5	886	0.9844444444444445
Scfd1	886	0.9844444444444445
Pfdn2	888	0.9866666666666667
Copb1	889	0.9877777777777778
Copz1	889	0.9877777777777778
Msto1	889	0.9877777777777778
Eif2b4	892	0.9911111111111112
Jtb	892	0.9911111111111112
Atp6v1h	894	0.9933333333333333
Uri1	894	0.9933333333333333
Cse1l	895	0.9944444444444445
Stx5a	897	0.9966666666666667
Rnasek	898	0.9977777777777778
Chmp4b	898	0.9977777777777778
Ubap1	898	0.9977777777777778
Chmp2a	900	1.0
